Item,Description,Cost_USD,Shipping_USD,Total_USD,Link
CAD,Custom shell CAD shell (I have a 3D printer),0.00,0.00,0.00,
Bambu Mouse Kit,Base mouse hardware used inside the custom shell,10.40,6.99,18.54,https://us.store.bambulab.com/products/mouse-kit
